date;valeur
24/09/2018;192.46
25/09/2018;192.48
26/09/2018;192.47
27/09/2018;192.19
28/09/2018;193.47
01/10/2018;193.01
02/10/2018;191.31
03/10/2018;191.82
04/10/2018;190.69
05/10/2018;190.77
08/10/2018;188.28
09/10/2018;189.32
10/10/2018;189.34
11/10/2018;187.97
12/10/2018;187.0
15/10/2018;186.8
16/10/2018;182.88
17/10/2018;182.74
18/10/2018;181.77
19/10/2018;181.59
22/10/2018;180.74
23/10/2018;179.16
24/10/2018;178.42
25/10/2018;178.03
26/10/2018;177.08
29/10/2018;176.29
30/10/2018;175.14
31/10/2018;177.5
01/11/2018;177.5
02/11/2018;176.59
05/11/2018;175.92
06/11/2018;176.06
07/11/2018;175.59
08/11/2018;174.51
09/11/2018;175.27
12/11/2018;173.89
13/11/2018;172.94
14/11/2018;173.2
15/11/2018;173.2
16/11/2018;172.34
19/11/2018;170.44
20/11/2018;170.44
21/11/2018;169.65
22/11/2018;168.38
23/11/2018;167.88
26/11/2018;165.15
27/11/2018;165.52
28/11/2018;166.19
29/11/2018;165.1
30/11/2018;166.49
03/12/2018;165.04
04/12/2018;164.02
05/12/2018;164.42
